Year,ARG,BOL,BRA,CHL,COL,ECU,GUY,PER,PRY,SUR,URY,VEN
1960,57,88.38,86.19,78.92,98.47,92.68,99.84,89,104.52,107.15,56.3,92.7
1961,57.19,88.69,86.91,79.44,99.29,93.55,101.69,90.07,104.1,108.4,56.68,93.69
1962,57.3,89.11,87.53,80.08,99.99,94.7,103.18,91.03,103.99,109.15,56.95,94.68
1963,57.34,89.47,87.96,80.69,100.48,95.85,104.27,91.81,104.03,109.51,57.12,95.58
1964,57.3,89.47,88.04,80.99,100.65,96.57,104.87,92.28,103.97,109.58,57.26,96.23
1965,57.2,88.98,87.72,80.89,100.48,96.67,104.89,92.39,103.7,109.37,57.38,96.54
1966,57.24,89.12,87.69,80.8,100.55,96.92,104.62,92.96,102.78,110.6,57.69,97.28
1967,57.2,88.74,87.1,80.33,100.21,96.6,104.21,93.05,101.72,111.16,57.92,97.37
1968,57.11,88.01,86.14,79.58,99.54,95.88,103.72,92.78,100.62,111.06,58.07,97.02
1969,57.04,87.19,85.06,78.65,98.58,94.99,103.11,92.33,99.54,110.28,58.18,96.42
1970,57.02,86.41,83.96,77.61,97.33,94.07,102.36,91.78,98.46,108.85,58.24,95.64
1971,57.16,86.37,82.93,76.78,96.19,93.6,99.81,91.58,96.98,107.8,58.44,94.5
1972,57.35,86.2,81.9,75.72,94.56,92.92,97.43,91.17,95.39,106.99,58.79,93.28
1973,57.58,85.97,80.83,74.51,92.64,92.11,95.42,90.59,93.84,106.37,59.16,91.91
1974,57.88,85.68,79.64,73.2,90.66,91.18,93.85,89.86,92.48,105.92,59.45,90.3
1975,58.25,85.34,78.34,71.82,88.78,90.16,92.62,89.01,91.39,105.5,59.63,88.47
1976,59.03,85.6,77.24,70.39,86.59,89.42,91.17,88.49,89.72,99.63,59.92,86.55
1977,59.95,85.77,76.11,68.99,84.86,88.54,89.97,87.88,88.58,93.95,59.96,84.66
1978,60.96,85.86,74.95,67.61,83.3,87.53,88.79,87.15,87.77,88.37,59.88,82.81
1979,61.91,85.83,73.82,66.2,81.6,86.39,87.4,86.2,87.04,83.11,59.83,80.98
1980,62.7,85.65,72.73,64.78,79.68,85.14,85.67,85,86.29,78.47,59.88,79.22
1981,63.71,85.94,72.08,63.49,78.3,84.04,83.4,84.19,85.69,74.4,60.03,78.01
1982,64.26,86.02,71.36,62.23,76.55,82.85,81.45,82.96,84.94,71.46,60.19,76.65
1983,64.56,85.94,70.61,61.04,74.7,81.58,79.92,81.52,84.19,69.31,60.36,75.32
1984,64.83,85.76,69.87,59.98,73.1,80.29,78.51,80.12,83.63,67.58,60.55,74.22
1985,65.2,85.5,69.11,59.08,71.86,79,76.82,78.87,83.31,66.08,60.74,73.42
1986,65.25,85.44,68.55,58.44,70.9,77.97,74.56,77.74,83.26,65.64,60.6,72.76
1987,65.56,85.26,67.85,57.91,70.15,76.91,71.99,76.83,83.24,64.71,60.61,72.39
1988,65.92,84.98,67.06,57.48,69.54,75.86,69.59,75.99,83.24,63.67,60.65,72.14
1989,66.02,84.61,66.2,57.12,68.89,74.82,67.84,75.05,83.17,62.98,60.58,71.8
1990,65.75,84.15,65.3,56.8,68.12,73.79,66.91,73.9,82.96,62.8,60.39,71.23
1991,65.65,83.66,64.29,56.64,67.24,73,66.31,73.09,82.76,62.77,60.5,70.78
1992,65.16,83.08,63.32,56.41,66.35,72.15,66.17,72.03,82.45,63.16,60.38,70.04
1993,64.43,82.4,62.32,56.14,65.4,71.28,66.36,70.84,81.98,63.77,60.15,69.12
1994,63.7,81.64,61.21,55.84,64.35,70.41,66.56,69.67,81.3,64.26,59.97,68.17
1995,63.08,80.81,59.98,55.52,63.19,69.56,66.55,68.59,80.41,64.43,59.9,67.25
1996,62.65,80.11,58.89,55.06,62.08,68.87,66.38,67.77,79.48,64.06,60.04,66.29
1997,62.23,79.31,57.72,54.63,60.8,68.2,66.09,66.99,78.41,63.47,60.21,65.42
1998,61.85,78.45,56.53,54.16,59.44,67.52,65.99,66.24,77.2,62.68,60.37,64.56
1999,61.45,77.55,55.38,53.58,58.13,66.77,66.37,65.44,75.87,61.79,60.45,63.63
2000,61.02,76.62,54.29,52.88,56.92,65.93,67.21,64.58,74.41,60.87,60.38,62.6
2001,60.54,75.87,53.45,52.12,55.71,65.21,67.35,63.61,73.11,60.43,60.35,61.64
2002,60.12,75.03,52.57,51.26,54.67,64.38,67.78,62.65,71.6,59.92,60.26,60.62
2003,59.72,74.16,51.7,50.35,53.73,63.5,68.21,61.67,69.98,59.38,60.09,59.57
2004,59.29,73.3,50.85,49.5,52.78,62.65,68.22,60.65,68.42,58.79,59.84,58.58
2005,58.8,72.47,50.04,48.76,51.79,61.89,67.66,59.63,66.97,58.13,59.52,57.68
2006,58.49,71.69,49.19,48.14,50.96,61.02,66.03,58.69,65.58,57.3,59.18,56.92
2007,58.06,70.94,48.41,47.62,50.04,60.29,64.18,57.72,64.46,56.39,58.75,56.21
2008,57.59,70.17,47.68,47.19,49.11,59.64,62.25,56.77,63.48,55.45,58.27,55.56
2009,57.2,69.35,46.97,46.79,48.29,58.99,60.56,55.91,62.48,54.52,57.79,54.97
2010,56.93,68.46,46.28,46.42,47.61,58.32,59.32,55.18,61.39,53.64,57.36,54.44
2011,56.75,67.55,45.67,46.17,47.01,57.74,57.73,54.61,60.45,52.94,57.02,53.99
2012,56.67,66.56,45.12,45.88,46.55,57.1,56.46,54.17,59.35,52.29,56.69,53.58
2013,56.66,65.53,44.62,45.63,46.21,56.47,55.41,53.81,58.24,51.69,56.39,53.22
2014,56.63,64.56,44.19,45.48,45.91,55.95,54.45,53.5,57.31,51.15,56.12,52.88
2015,56.55,63.69,43.82,45.47,45.62,55.58,53.51,53.19,56.63,50.65,55.88,52.55
2016,56.54,62.9,43.64,45.55,45.39,55.3,52.88,52.99,56.04,50.36,55.71,52.27
2017,56.45,62.19,43.47,45.78,45.19,55.14,52.21,52.76,55.71,50.08,55.56,52
